time,open,high,low,close,Volume
1672686000,16715,16728.5,16710,16728,2228.096
1672689600,16728,16729.5,16702.5,16721,2436.957
1672693200,16721,16790,16713.5,16746.5,6024.921
1672696800,16746.5,16752.5,16682.5,16690,5564.88
1672700400,16690,16714.5,16649.5,16663,6961.11
1672704000,16663,16696.5,16641,16688.5,5470.043
1672707600,16688.5,16688.5,16645,16672.5,3933.698
1672711200,16672.5,16677.5,16666,16667.5,3003.301
1672714800,16667.5,16691,16662.5,16684.5,5163.536
1672718400,16684.5,16689.5,16677,16679.5,4809.08
1672722000,16679.5,16716,16678,16715,5801.798
1672725600,16715,16769.5,16712,16713,11889.015
1672729200,16713,16724.5,16700,16722,5456.856
1672732800,16722,16725.5,16690.5,16709,5768.745
1672736400,16709,16746,16707,16729.5,4412.183
1672740000,16729.5,16736.5,16715.5,16716.5,3167.485
1672743600,16716.5,16727,16702.5,16711,3770.191
1672747200,16711,16717,16696.5,16701.5,4410.218
1672750800,16701.5,16728.5,16701,16718.5,4460.443
1672754400,16718.5,16762.5,16634.5,16653,15948.305
1672758000,16653,16675.5,16615,16672,17583.41
1672761600,16672,16680.5,16606,16617,16078.056
1672765200,16617,16634.5,16599.5,16623.5,5398.731
1672768800,16623.5,16645,16623,16636.5,4084.718
1672772400,16636.5,16648.5,16617.5,16637,3955.264
1672776000,16637,16662,16636,16655,5868.452
1672779600,16655,16665.5,16653.5,16658.5,3447.917
1672783200,16658.5,16669.5,16640.5,16667,3005.562
1672786800,16667,16683.5,16659.5,16665,3230.205
1672790400,16665,16666,16647,16652.5,3142.087
1672794000,16652.5,16723,16651,16694,9398.291
1672797600,16694,16744.5,16692,16726,9717.357
1672801200,16726,16863.5,16726,16852,28970.991
1672804800,16852,16905.5,16848,16857.5,18987.198
1672808400,16857.5,16860.5,16838,16855,5689.953
1672812000,16855,16879,16850.5,16879,5288.194
1672815600,16879,16892.5,16849.5,16869.5,6587.131
1672819200,16869.5,16918.5,16835.5,16863.5,11701.184
1672822800,16863.5,16865.5,16836,16845.5,5059.037
1672826400,16845.5,16847.5,16833.5,16843.5,4417.845
1672830000,16843.5,16854,16837.5,16838,3532.595
1672833600,16838,16845.5,16810,16816,6262.907
1672837200,16816,16841.5,16815.5,16828,4272.943
1672840800,16828,16857.5,16801,16829,6428.287
1672844400,16829,16852,16769,16852,12533.463
1672848000,16852,16896,16832.5,16857.5,11008.756
1672851600,16857.5,16935.5,16850,16890,14037.407
1672855200,16890,16983.5,16872,16950.5,15578.082
1672858800,16950.5,16990,16787.5,16841,18009
1672862400,16841,16849,16772.5,16807.5,14453.654
1672866000,16807.5,16826,16795.5,16823.5,4959.186
1672869600,16823.5,16843.5,16813.5,16827.5,3821.991
1672873200,16827.5,16865,16817.5,16853.5,3613.042
1672876800,16853.5,16876,16829,16829,5196.396
1672880400,16829,16849,16809.5,16834,5224.944
1672884000,16834,16842,16824,16836,3088.554
1672887600,16836,16836.5,16818.5,16823.5,3834.356
1672891200,16823.5,16841,16821,16839,3231.016
1672894800,16839,16846,16837,16841.5,2507.387
1672898400,16841.5,16842,16811.5,16817.5,3628.924
1672902000,16817.5,16819,16785,16813,6451.455
1672905600,16813,16818,16786,16799,5016.17
1672909200,16799,16802,16772.5,16798.5,6282.729
1672912800,16798.5,16824,16797.5,16815,4242.123
1672916400,16815,16825.5,16803,16822.5,3154.348
1672920000,16822.5,16823.5,16807,16810,2980.215
1672923600,16810,16817.5,16765.5,16766,11204.016
1672927200,16766,16823,16746.5,16817.5,11388.837
1672930800,16817.5,16866,16813.5,16835,12404.42
1672934400,16835,16850.5,16816,16826,5897.059
1672938000,16826,16834,16802,16803,3554.496
1672941600,16803,16834.5,16790.5,16829.5,5352.384
1672945200,16829.5,16860.5,16817,16850,3351.624
1672948800,16850,16856,16832.5,16845.5,3246.04
1672952400,16845.5,16849.5,16821,16835,3871.807
1672956000,16835,16842.5,16821,16825.5,2876.622
1672959600,16825.5,16832,16807.5,16820,3682.993
1672963200,16820,16857,16816.5,16846.5,5222.573
1672966800,16846.5,16851.5,16810.5,16815,4385.738
1672970400,16815,16824.5,16793,16824,4750.417
1672974000,16824,16828,16816.5,16820,2487.288
1672977600,16820,16822.5,16796.5,16812.5,4733.797
1672981200,16812.5,16812.5,16782,16802.5,5315.21
1672984800,16802.5,16805,16773,16777.5,5925.705
1672988400,16777.5,16794,16772,16784.5,4056.293
1672992000,16784.5,16802.5,16784,16792.5,2444.665
1672995600,16792.5,16793,16756,16780.5,4901.533
1672999200,16780.5,16792,16755.5,16757.5,3837.972
1673002800,16757.5,16762,16701,16735.5,10175.633
1673006400,16735.5,16740.5,16713,16726.5,5911.642
1673010000,16726.5,16805.5,16675,16762.5,19076.287
1673013600,16762.5,16785,16718,16741,8326.147
1673017200,16741,16835.5,16741,16831,11896.945
1673020800,16831,16843,16799.5,16819,9467.042
1673024400,16819,16832.5,16804.5,16809.5,3191.85
1673028000,16809.5,16852,16809.5,16836.5,3978.863
1673031600,16836.5,16952,16833,16927,14490.704
1673035200,16927,17034.5,16886,16895,27488.344
1673038800,16895,16947,16886.5,16927,8106.875
1673042400,16927,16961,16927,16951.5,5255.572
1673046000,16951.5,16974.5,16939.5,16948,4480.782
1673049600,16948,16977,16930,16977,4067.275
1673053200,16977,16979.5,16944.5,16949.5,4246.477
1673056800,16949.5,16953.5,16939,16941.5,4567.435
1673060400,16941.5,16953.5,16939,16950,2582.446
1673064000,16950,16951,16939,16939.5,2633.883
1673067600,16939.5,16939.5,16935.5,16935.5,2695.191
1673071200,16935.5,16936,16921.5,16932,2997.123
1673074800,16932,16946,16931.5,16945.5,3196.875
1673078400,16945.5,16949.5,16929,16931.5,3031.84
1673082000,16931.5,16932,16922.5,16930,2523.863
1673085600,16930,16930.5,16914.5,16921,3020.505
1673089200,16921,16928,16914,16922.5,3275.724
1673092800,16922.5,16922.5,16913.5,16920,3081.556
1673096400,16920,16936,16912.5,16916.5,3980.319
1673100000,16916.5,16945,16909,16937,4329.441
1673103600,16937,16944,16935,16938,3462.907
1673107200,16938,16939,16918.5,16922.5,3233.606
