トレード番号,タイプ,日時,シグナル,価格 USDT,ポジションサイズ（数量）,ポジションサイズ（金額）,純損益 USDT,純損益 %,最大順行幅 USDT,最大順行幅 %,最大逆行幅 USDT,最大逆行幅 %,累積損益 USDT,累積損益 %
190,ショート決済,2023-06-13 09:00,Long,25889,1,25787,-102,-0.40,150,0.58,-173.5,-0.67,10451.5,1.05
190,ショートエントリー,2023-06-12 23:00,Short,25787,1,25787,-102,-0.40,150,0.58,-173.5,-0.67,10451.5,1.05
191,ロング決済,2023-06-14 02:00,Short,25851,1,25889,-38,-0.15,522,2.02,-180,-0.70,10413.5,1.04
191,ロングエントリー,2023-06-13 09:00,Long,25889,1,25889,-38,-0.15,522,2.02,-180,-0.70,10413.5,1.04
192,ショート決済,2023-06-15 00:00,Long,25980,1,25851,-129,-0.50,83,0.32,-218.5,-0.85,10284.5,1.03
192,ショートエントリー,2023-06-14 02:00,Short,25851,1,25851,-129,-0.50,83,0.32,-218.5,-0.85,10284.5,1.03
193,ロング決済,2023-06-15 06:00,Short,24914.5,1,25980,-1065.5,-4.10,108.5,0.42,-1192,-4.59,9219,0.92
193,ロングエントリー,2023-06-15 00:00,Long,25980,1,25980,-1065.5,-4.10,108.5,0.42,-1192,-4.59,9219,0.92
194,ショート決済,2023-06-16 02:00,Long,24985.5,1,24914.5,-71,-0.28,138.5,0.56,-275,-1.10,9148,0.91
194,ショートエントリー,2023-06-15 06:00,Short,24914.5,1,24914.5,-71,-0.28,138.5,0.56,-275,-1.10,9148,0.91
195,ロング決済,2023-06-17 23:00,Short,26547,1,24985.5,1561.5,6.25,1908,7.64,-32.5,-0.13,10709.5,1.07
195,ロングエントリー,2023-06-16 02:00,Long,24985.5,1,24985.5,1561.5,6.25,1908,7.64,-32.5,-0.13,10709.5,1.07
196,ショート決済,2023-06-19 03:00,Long,26626,1,26547,-79,-0.30,237,0.89,-126.5,-0.48,10630.5,1.06
196,ショートエントリー,2023-06-17 23:00,Short,26547,1,26547,-79,-0.30,237,0.89,-126.5,-0.48,10630.5,1.06
197,ロング決済,2023-06-19 06:00,Short,26471,1,26626,-155,-0.58,86,0.32,-269,-1.01,10475.5,1.05
197,ロングエントリー,2023-06-19 03:00,Long,26626,1,26626,-155,-0.58,86,0.32,-269,-1.01,10475.5,1.05
198,ショート決済,2023-06-19 22:00,Long,26524.5,1,26471,-53.5,-0.20,222,0.84,-108.5,-0.41,10422,1.04
198,ショートエントリー,2023-06-19 06:00,Short,26471,1,26471,-53.5,-0.20,222,0.84,-108.5,-0.41,10422,1.04
199,ロング決済,2023-06-20 23:00,Short,26808.5,1,26524.5,284,1.07,650.5,2.45,-219.5,-0.83,10706,1.07
