トレード番号,タイプ,日時,シグナル,価格 USDT,ポジションサイズ（数量）,ポジションサイズ（金額）,純損益 USDT,純損益 %,最大順行幅 USDT,最大順行幅 %,最大逆行幅 USDT,最大逆行幅 %,累積損益 USDT,累積損益 %
170,ショートエントリー,2023-09-13 19:00,ShortEnt,26149.5,1,26149.5,-121.93,-0.47,113.81,0.43,-269.69,-1.03,2021.73,0.20
171,ショート決済,2023-09-14 22:00,Close entry(s) order ShortEnt,26577.9,1,26456.5,-153.22,-0.58,0,0.00,-329.67,-1.25,1868.51,0.19
171,ショートエントリー,2023-09-14 21:00,ShortEnt,26456.5,1,26456.5,-153.22,-0.58,0,0.00,-329.67,-1.25,1868.51,0.19
172,ショート決済,2023-09-16 05:00,Close entry(s) order ShortEnt,26410.3,1,26611,168.89,0.63,375.03,1.41,-59.97,-0.23,2037.4,0.20
172,ショートエントリー,2023-09-15 18:00,ShortEnt,26611,1,26611,168.89,0.63,375.03,1.41,-59.97,-0.23,2037.4,0.20
173,ロング決済,2023-09-17 04:00,Close entry(s) order LongEnt,26531.6,1,26540,-40.24,-0.15,64.28,0.24,-77.82,-0.29,1997.16,0.20
173,ロングエントリー,2023-09-16 19:00,LongEnt,26540,1,26540,-40.24,-0.15,64.28,0.24,-77.82,-0.29,1997.16,0.20
174,ショート決済,2023-09-17 17:00,Close entry(s) order ShortEnt,26545.5,1,26538,-39.35,-0.15,32.98,0.12,-27.72,-0.10,1957.81,0.20
174,ショートエントリー,2023-09-17 14:00,ShortEnt,26538,1,26538,-39.35,-0.15,32.98,0.12,-27.72,-0.10,1957.81,0.20
175,ロング決済,2023-09-19 06:00,Close entry(s) order LongEnt,26834.2,1,26811.8,-9.79,-0.04,15.61,0.06,-99.89,-0.37,1948.02,0.19
175,ロングエントリー,2023-09-19 04:00,LongEnt,26811.8,1,26811.8,-9.79,-0.04,15.61,0.06,-99.89,-0.37,1948.02,0.19
176,ショート決済,2023-09-20 01:00,Close entry(s) order ShortEnt,27284.1,1,26796.1,-520.45,-1.94,30.02,0.11,-698.38,-2.60,1427.57,0.14
176,ショートエントリー,2023-09-19 14:00,ShortEnt,26796.1,1,26796.1,-520.45,-1.94,30.02,0.11,-698.38,-2.60,1427.57,0.14
